operon_no.	start_gene	last_gene	start_position	last_position	strand	in_operon	P1	P2	P3	P4	TSS type	number of TSS	internal 	flag	non-coding	RNA
533	CCNA_00933	CCNA_00934	1008616	1010594	+	y	x	x	x	x	NO	0	n	simple	0	x
535	CCNA_00936	CCNA_00936	1011810	1012649	+	n	x	x	x	x	NO	0	n	simple	0	x
538	CCNA_00939	CCNA_00939	1014509	1015012	+	n	1014509	x	x	x	TRUE	1	n	simple	0	x
539	CCNA_00940	CCNA_00940	1015105	1017138	+	n	x	x	x	x	NO	0	n	simple	0	x
541	CCNA_00944	CCNA_00947	1021867	1026270	+	y	1021820	x	x	x	POTENTIAL	1	y	complex	0	x
543	CCNA_00948	CCNA_00954	1026439	1032068	+	y	1026293	1026316	x	x	TRUE	multiple	y	complex	0	x
547	CCNA_00956	CCNA_00957	1032336	1035959	+	y	x	x	x	x	NO	0	y	complex	0	x
549	CCNA_00959	CCNA_00961	1037402	1038479	+	y	1037349	x	x	x	TRUE	1	y	complex	0	x
553	CCNA_00966	CCNA_00966	1040719	1041387	+	n	1040719	x	x	x	TRUE	1	n	simple	0	x
555	CCNA_00968	CCNA_00968	1042164	1043663	+	n	1042126	x	x	x	TRUE	1	n	simple	0	x
557	CCNA_00970	CCNA_00970	1046120	1049140	+	n	1046087	x	x	x	TRUE	1	n	simple	0	x
559	CCNA_00972	CCNA_00972	1050224	1050370	+	n	1050202	x	x	x	TRUE	1	n	simple	0	x
561	CCNA_00974	CCNA_00974	1051388	1054555	+	n	1051249	x	x	x	TRUE	1	n	simple	0	x
563	CCNA_00977	CCNA_00978	1057369	1058162	+	y	1057167	x	x	x	TRUE	1	n	simple	0	x
564	CCNA_00979	CCNA_00981	1058314	1061301	+	y	1058178	x	x	x	TRUE	1	n	simple	0	x
565	CCNA_00982	CCNA_00982	1061622	1062050	+	n	1061601	x	x	x	TRUE	1	n	simple	0	x
567	CCNA_00986	CCNA_00986	1066823	1067782	+	n	x	x	x	x	NO	0	y	complex	0	x
567.1	CCNA_00987	CCNA_00987	1067843	1068046	+	n	1067818	x	x	x	TRUE	1	n	simple	0	x
569	CCNA_00989	CCNA_00989	1069657	1071558	+	n	1069639	x	x	x	TRUE	1	y	complex	0	x
574	CCNA_00995	CCNA_00995	1077242	1078576	+	n	1077198	1077213	x	x	TRUE	multiple	y	complex	0	x
575	CCNA_00996	CCNA_00996	1078807	1079691	+	n	1078784	x	x	x	POTENTIAL	1	n	simple	0	x
576	CCNA_00997	CCNA_00997	1079915	1081138	+	n	1079915	x	x	x	TRUE	1	n	simple	0	x
577	CCNA_00998	CCNA_00998	1081367	1081786	+	n	1081313	x	x	x	TRUE	1	n	simple	0	x
578	CCNA_00999	CCNA_01000	1081984	1082725	+	y	1081955	x	x	x	TRUE	1	n	simple	0	x
581	CCNA_01004	CCNA_01006	1085196	1086393	+	y	1085196	x	x	x	POTENTIAL	1	n	simple	0	x
583	CCNA_01012	CCNA_01013	1092339	1094422	+	y	x	x	x	x	NO	0	y	complex	0	x
585	CCNA_01015	CCNA_01016	1095313	1097903	+	y	1095218	1095241	1095291	x	TRUE	multiple	n	complex	0	x
586	CCNA_01017	CCNA_01017	1098179	1099771	+	n	1098140	x	x	x	TRUE	1	n	simple	0	x
589	CCNA_01021	CCNA_01021	1105026	1108139	+	n	1104835	x	x	x	TRUE	1	n	simple	0	x
590	CCNA_01022	CCNA_01023	1108366	1111458	+	y	x	x	x	x	NO	0	n	simple	0	x
594	CCNA_01028	CCNA_01028	1114031	1115644	+	n	x	x	x	x	NO	0	n	simple	0	x
597	CCNA_01031	CCNA_01031	1119701	1121353	+	n	1119649	x	x	x	TRUE	1	n	simple	0	x
597.1	CCNA_01032	CCNA_01033	1121440	1122992	+	y	1121429	x	x	x	TRUE	1	y	complex	0	x
599	CCNA_01034	CCNA_01035	1123256	1128433	+	y	1123204	x	x	x	POTENTIAL	1	y	complex	1	CCNA_R0129
602	CCNA_01039	CCNA_01040	1133616	1136569	+	y	1133608	x	x	x	POTENTIAL	1	n	simple	0	x
605	CCNA_01044	CCNA_01044	1140124	1140756	+	n	1140018	1140031	x	x	TRUE	multiple	n	complex	0	x
607	CCNA_01047	CCNA_01047	1142237	1144948	+	n	x	x	x	x	NO	0	y	complex	0	x
608	CCNA_01048	CCNA_01048	1145106	1145369	+	n	x	x	x	x	NO	0	n	simple	0	x
609	CCNA_03945	CCNA_01049	1145454	1146154	+	y	1145417	x	x	x	TRUE	1	n	simple	0	x
610	CCNA_01050	CCNA_01050	1146283	1147911	+	n	1146283	x	x	x	POTENTIAL	1	n	simple	0	x
611	CCNA_01051	CCNA_01051	1148357	1151464	+	n	1148214	x	x	x	TRUE	1	y	complex	0	x
612	CCNA_01052	CCNA_01054	1151554	1154830	+	y	1151287	1151533	x	x	TRUE	multiple	n	complex	0	x
617	CCNA_01059	CCNA_01059	1159693	1162773	+	n	1159633	x	x	x	TRUE	1	n	simple	0	x
618	CCNA_01060	CCNA_01060	1163016	1164752	+	n	1162960	x	x	x	TRUE	1	n	simple	0	x
619	CCNA_01061	CCNA_01061	1164820	1166130	+	n	x	x	x	x	NO	0	n	simple	0	x
620	CCNA_01062	CCNA_01067	1166270	1172735	+	y	1166241	x	x	x	TRUE	1	y	complex	0	x
622	CCNA_01069	CCNA_01069	1174284	1175819	+	n	1174259	x	x	x	TRUE	1	n	simple	0	x
629	CCNA_01078	CCNA_01078	1183239	1183991	+	n	1183219	x	x	x	POTENTIAL	1	n	simple	0	x
631	CCNA_01080	CCNA_01081	1184254	1185642	+	y	1184254	x	x	x	POTENTIAL	1	y	complex	0	x
633	CCNA_01083	CCNA_01084	1186885	1190108	+	y	1186885	x	x	x	TRUE	1	y	complex	0	x
636	CCNA_01087	CCNA_01087	1193276	1193992	+	n	1193229	x	x	x	TRUE	1	n	simple	0	x
644	CCNA_01102	CCNA_01102	1208217	1208816	+	n	1208086	x	x	x	TRUE	1	n	simple	0	x
646	CCNA_01105	CCNA_01107	1211168	1212590	+	y	1211041	1211113	x	x	TRUE	multiple	y	complex	0	x
648	CCNA_01109	CCNA_01110	1213981	1216700	+	y	1213981	x	x	x	POTENTIAL	1	y	complex	0	x
649	CCNA_01111	CCNA_01112	1217028	1218130	+	y	x	x	x	x	NO	0	n	simple	0	x
651	CCNA_01116	CCNA_01116	1220535	1222292	+	n	x	x	x	x	NO	0	n	simple	0	x
653	CCNA_01118	CCNA_01118	1223264	1223593	+	n	1223213	x	x	x	TRUE	1	n	simple	0	x
654	CCNA_01119	CCNA_01119	1223722	1224102	+	n	1223686	x	x	x	TRUE	1	n	simple	0	x
656	CCNA_01121	CCNA_01121	1224493	1226007	+	n	1224487	x	x	x	TRUE	1	n	simple	0	x
657	CCNA_01122	CCNA_01123	1226141	1229291	+	y	1226120	x	x	x	TRUE	1	y	complex	0	x
2382	CCNA_03890	CCNA_03890	1231609	1232988	+	n	1231559	x	x	x	TRUE	1	y	complex	0	x
661	CCNA_01128	CCNA_01128	1233054	1233356	+	n	1232972	x	x	x	TRUE	1	n	simple	0	x
662	CCNA_01129	CCNA_01132	1233504	1237813	+	y	1233463	x	x	x	TRUE	1	y	complex	0	x
665	CCNA_01138	CCNA_01138	1240937	1241314	+	n	1240918	x	x	x	TRUE	1	n	simple	0	x
666	CCNA_01139	CCNA_01139	1241418	1243241	+	n	1241362	x	x	x	TRUE	1	n	simple	0	x
668	CCNA_01141	CCNA_01141	1245163	1246233	+	n	1245084	1245156	x	x	TRUE	multiple	y	complex	0	x
669	CCNA_01142	CCNA_01142	1246920	1247396	+	n	1246920	x	x	x	TRUE	1	y	complex	0	x
671	CCNA_01147	CCNA_01147	1250554	1251102	+	n	x	x	x	x	NO	0	n	simple	0	x
672	CCNA_01148	CCNA_01148	1251192	1251368	+	n	x	x	x	x	NO	0	n	simple	0	x
674	CCNA_01151	CCNA_01154	1254720	1258591	+	y	1254720	x	x	x	TRUE	1	y	complex	0	x
675	CCNA_01155	CCNA_01155	1258877	1261810	+	n	1258800	x	x	x	TRUE	1	n	simple	0	x
676	CCNA_01156	CCNA_01156	1261886	1262671	+	n	x	x	x	x	NO	0	n	simple	0	x
677	CCNA_01157	CCNA_01158	1262857	1266709	+	y	1262779	x	x	x	POTENTIAL	1	y	complex	0	x
679	CCNA_03946	CCNA_01159	1266917	1268313	+	y	1266870	x	x	x	TRUE	1	n	simple	0	x
681	CCNA_01161	CCNA_01161	1268520	1269866	+	n	1268498	x	x	x	TRUE	1	n	simple	0	x
682	CCNA_01162	CCNA_01162	1269938	1272241	+	n	1269890	1269912	x	x	TRUE	multiple	n	complex	0	x
683	CCNA_01163	CCNA_01163	1272589	1280028	+	n	1272526	x	x	x	TRUE	1	y	complex	0	x
684	CCNA_01164	CCNA_01165	1280183	1284618	+	y	x	x	x	x	NO	0	n	simple	0	x
687	CCNA_01171	CCNA_01171	1291753	1292091	+	n	1291673	x	x	x	TRUE	1	y	complex	0	x
688	CCNA_01172	CCNA_01172	1292202	1293044	+	n	1292195	x	x	x	TRUE	1	n	simple	0	x
690	CCNA_01175	CCNA_01179	1294712	1298880	+	y	1294595	x	x	x	TRUE	1	n	simple	0	x
695	CCNA_01182	CCNA_01184	1301993	1304087	+	y	1301925	1301937	x	x	TRUE	multiple	y	complex	0	x
697	CCNA_01186	CCNA_01186	1304705	1305016	+	n	1304672	1304678	x	x	TRUE	multiple	n	complex	0	x
698	CCNA_01187	CCNA_01188	1305189	1306660	+	y	1305181	x	x	x	POTENTIAL	1	n	simple	0	x
699	CCNA_01189	CCNA_01189	1306766	1309666	+	n	x	x	x	x	NO	0	y	complex	0	x
700	CCNA_01190	CCNA_01190	1309772	1311301	+	n	1309772	x	x	x	POTENTIAL	1	n	simple	0	x
704	CCNA_01196	CCNA_01196	1319269	1321248	+	n	1319251	x	x	x	TRUE	1	n	simple	0	x
706	CCNA_01198	CCNA_01199	1321668	1323436	+	y	1321666	x	x	x	TRUE	1	n	simple	0	x
711	CCNA_01205	CCNA_01209	1331972	1336638	+	y	x	x	x	x	NO	0	n	simple	0	x
712	CCNA_01210	CCNA_01210	1336864	1337625	+	n	1336743	x	x	x	TRUE	1	n	simple	0	x
715	CCNA_01217	CCNA_01219	1343532	1346448	+	y	1343509	x	x	x	TRUE	1	n	simple	0	x
718	CCNA_01227	CCNA_01228	1353981	1355674	+	y	x	x	x	x	NO	0	n	simple	0	x
720	CCNA_01230	CCNA_01231	1357095	1359754	+	y	1357073	x	x	x	TRUE	1	n	complex	1	CCNA_R0136
722	CCNA_01234	CCNA_01234	1361248	1362339	+	n	x	x	x	x	NO	0	n	simple	0	x
723	CCNA_01235	CCNA_01235	1362403	1363035	+	n	1362383	x	x	x	POTENTIAL	1	n	simple	0	x
727	CCNA_01243	CCNA_01243	1369302	1371773	+	n	x	x	x	x	NO	0	y	complex	0	x
730	CCNA_01248	CCNA_01251	1375993	1379177	+	y	1375966	x	x	x	TRUE	1	n	simple	0	x
732	CCNA_01253	CCNA_01254	1381534	1382876	+	y	1381418	x	x	x	POTENTIAL	1	n	simple	0	x
735	CCNA_01259	CCNA_01259	1386326	1387099	+	n	1386307	x	x	x	TRUE	1	y	complex	0	x
735.1	CCNA_01260	CCNA_01260	1387138	1387887	+	n	x	x	x	x	NO	0	n	simple	0	x
737	CCNA_01261	CCNA_01263	1388006	1394634	+	y	1387952	1387964	x	x	POTENTIAL	multiple	y	complex	0	x
2399	CCNA_03947	CCNA_03947	1394783	1394905	+	n	x	x	x	x	NO	0	n	simple	0	x
743	CCNA_01269	CCNA_01270	1397552	1398321	+	y	1397427	1397512	x	x	TRUE	multiple	n	complex	0	x
744	CCNA_01271	CCNA_01271	1398470	1399003	+	n	1398453	x	x	x	TRUE	1	n	simple	0	x
746	CCNA_01275	CCNA_01277	1401717	1404392	+	y	1401700	x	x	x	TRUE	1	y	complex	0	x
748	CCNA_01281	CCNA_01284	1407064	1411604	+	y	1406997	1407004	x	x	TRUE	multiple	n	complex	0	x
751	CCNA_01286	CCNA_01286	1412679	1412939	+	n	1412679	x	x	x	POTENTIAL	1	n	simple	0	x
753	CCNA_01288	CCNA_01288	1414050	1415267	+	n	x	x	x	x	NO	0	n	simple	0	x
755	CCNA_01290	CCNA_01292	1415745	1418280	+	y	1415692	x	x	x	TRUE	1	n	simple	0	x
757	CCNA_01294	CCNA_01294	1418730	1419224	+	n	x	x	x	x	NO	0	n	simple	0	x
2327	CCNA_01298	CCNA_01298	1423488	1424678	+	n	1423343	1423354	1423479	x	TRUE	multiple	n	complex	0	x
761	CCNA_01299	CCNA_01299	1424774	1425400	+	n	x	x	x	x	NO	0	y	complex	0	x
762	CCNA_01300	CCNA_01302	1425640	1429948	+	y	1425640	x	x	x	POTENTIAL	1	y	complex	0	x
763	CCNA_01303	CCNA_01303	1430061	1430900	+	n	1430026	1430055	x	x	POTENTIAL	multiple	n	simple	0	x
764	CCNA_01304	CCNA_01326	1431129	1442448	+	y	1431115	x	x	x	TRUE	1	y	complex	0	x
764.1	CCNA_01327	CCNA_01327	1442583	1443158	+	n	1442538	x	x	x	TRUE	1	y	complex	0	x
765	CCNA_01328	CCNA_01330	1443405	1445270	+	y	1443306	x	x	x	TRUE	1	n	simple	0	x
767	CCNA_01332	CCNA_01332	1445475	1445888	+	n	x	x	x	x	NO	0	n	simple	0	x
770	CCNA_01336	CCNA_01336	1448810	1450039	+	n	x	x	x	x	NO	0	n	simple	0	x
771	CCNA_01337	CCNA_01337	1450109	1451731	+	n	1450093	x	x	x	TRUE	1	n	simple	0	x
772	CCNA_01338	CCNA_01341	1451802	1455832	+	y	1451780	x	x	x	TRUE	1	y	complex	0	x
773	CCNA_01342	CCNA_01344	1455951	1458584	+	y	x	x	x	x	NO	0	y	complex	0	x
775	CCNA_01345	CCNA_01345	1458745	1459527	+	n	x	x	x	x	NO	0	n	simple	0	x
776	CCNA_01346	CCNA_01347	1459714	1461083	+	y	x	x	x	x	NO	0	n	simple	0	x
777	CCNA_01348	CCNA_01348	1461471	1462034	+	n	x	x	x	x	NO	0	n	simple	0	x
778	CCNA_01349	CCNA_01350	1462307	1463100	+	y	1462249	x	x	x	TRUE	1	n	simple	0	x
782	CCNA_01355	CCNA_01355	1469366	1470241	+	n	1469343	1469349	x	x	TRUE	multiple	n	complex	0	x
783	CCNA_01356	CCNA_01360	1470370	1477386	+	y	1470328	x	x	x	TRUE	1	n	simple	0	x
784	CCNA_01361	CCNA_01363	1477574	1479935	+	y	1477574	x	x	x	POTENTIAL	1	n	simple	0	x
785	CCNA_01364	CCNA_01364	1480166	1481191	+	n	1480063	1480085	x	x	TRUE	multiple	n	complex	0	x
788	CCNA_01367	CCNA_01367	1482331	1483221	+	n	1482331	x	x	x	POTENTIAL	1	n	simple	0	x
789	CCNA_01368	CCNA_01369	1483373	1485853	+	y	1483322	x	x	x	TRUE	1	y	complex	0	x
2400	CCNA_03948	CCNA_03948	1486209	1486346	+	n	1486089	x	x	x	TRUE	1	n	simple	0	x
792	CCNA_01373	CCNA_01374	1487512	1490177	+	y	1487459	1487512	x	x	TRUE	multiple	y	complex	0	x
792.1	CCNA_01375	CCNA_01376	1490238	1491557	+	y	1490214	x	x	x	TRUE	1	n	simple	0	x
794	CCNA_01378	CCNA_01379	1492535	1494683	+	y	1492509	x	x	x	TRUE	1	y	complex	0	x
795	CCNA_01380	CCNA_01380	1494812	1495345	+	n	1494759	1494784	1494793	x	TRUE	multiple	n	complex	0	x
796	CCNA_01381	CCNA_01381	1495472	1498192	+	n	1495469	x	x	x	POTENTIAL	1	n	simple	0	x
797	CCNA_01382	CCNA_01383	1498487	1500605	+	y	x	x	x	x	NO	0	y	complex	0	x
799	CCNA_01385	CCNA_01385	1502307	1503038	+	n	1502287	x	x	x	TRUE	1	y	complex	0	x
801	CCNA_01387	CCNA_01388	1503930	1506251	+	y	1503930	x	x	x	POTENTIAL	1	y	complex	0	x
802	CCNA_01389	CCNA_01389	1506300	1507313	+	n	1506232	1506288	x	x	TRUE	multiple	n	complex	0	x
803	CCNA_01390	CCNA_01391	1507389	1510149	+	y	1507360	x	x	x	TRUE	1	y	complex	0	x
804	CCNA_01392	CCNA_01392	1510305	1510772	+	n	1510305	x	x	x	TRUE	1	n	simple	0	x
806	CCNA_01395	CCNA_01395	1513437	1515113	+	n	1513302	x	x	x	TRUE	1	n	simple	0	x
806.1	CCNA_01396	CCNA_01398	1515188	1518478	+	y	1515188	x	x	x	TRUE	1	n	simple	0	x
809	CCNA_01403	CCNA_01404	1520934	1523918	+	y	1520912	x	x	x	TRUE	1	n	simple	0	x
812	CCNA_01407	CCNA_01407	1525535	1526167	+	n	x	x	x	x	NO	0	n	simple	0	x
2402	CCNA_03950	CCNA_03950	1529779	1529883	+	n	1529706	1529729	1529735	x	TRUE	multiple	n	complex	0	x
814	CCNA_01412	CCNA_01415	1529975	1533644	+	y	1529706	1529729	1529735	x	TRUE	multiple	y	complex	0	x
815	CCNA_01416	CCNA_01416	1533716	1534612	+	n	x	x	x	x	NO	0	n	simple	0	x
816	CCNA_01417	CCNA_01417	1534788	1536014	+	n	1534631	1534738	x	x	TRUE	multiple	n	complex	0	x
818	CCNA_01419	CCNA_01420	1536723	1538515	+	y	1536689	1536698	x	x	TRUE	multiple	y	complex	0	x
818.1	CCNA_01421	CCNA_01423	1538581	1540509	+	y	1538547	x	x	x	TRUE	1	y	complex	0	x
819	CCNA_01424	CCNA_01424	1540672	1541166	+	n	1540672	x	x	x	POTENTIAL	1	n	simple	0	x
820	CCNA_01425	CCNA_01425	1541409	1543547	+	n	1541253	x	x	x	TRUE	1	n	simple	0	x
824	CCNA_01429	CCNA_01430	1545062	1546116	+	y	1545006	x	x	x	TRUE	1	y	complex	0	x
825	CCNA_01431	CCNA_01432	1546292	1548348	+	y	x	x	x	x	NO	0	n	simple	0	x
826	CCNA_01433	CCNA_01434	1548563	1549303	+	y	1548452	x	x	x	TRUE	1	n	simple	0	x
830	CCNA_01438	CCNA_01438	1550159	1551190	+	n	x	x	x	x	NO	0	n	simple	0	x
832	CCNA_01440	CCNA_01442	1552866	1554861	+	y	1552638	1552807	x	x	POTENTIAL	multiple	y	complex	0	x
835	CCNA_01445	CCNA_01445	1557697	1558137	+	n	1557694	x	x	x	POTENTIAL	1	n	simple	0	x
836	CCNA_01446	CCNA_01449	1558246	1562858	+	y	x	x	x	x	NO	0	n	simple	0	x
837	CCNA_01450	CCNA_01450	1562926	1564746	+	n	x	x	x	x	NO	0	y	complex	0	x
838	CCNA_01451	CCNA_01452	1565243	1566356	+	y	1565199	x	x	x	TRUE	1	y	complex	0	x
2333	CCNA_01453	CCNA_01453	1566524	1566829	+	n	1566409	x	x	x	TRUE	1	n	simple	0	x
841	CCNA_01457	CCNA_01459	1567625	1568445	+	y	x	x	x	x	NO	0	n	simple	0	x
842	CCNA_01460	CCNA_01460	1568518	1568736	+	n	x	x	x	x	NO	0	n	simple	0	x
843	CCNA_01461	CCNA_01461	1568764	1569069	+	n	x	x	x	x	NO	0	n	simple	0	x
847	CCNA_01465	CCNA_01465	1572606	1574201	+	n	1572588	x	x	x	TRUE	1	n	simple	0	x
849	CCNA_01467	CCNA_01474	1574712	1582468	+	y	1574634	x	x	x	POTENTIAL	1	n	simple	0	x
850	CCNA_01475	CCNA_01475	1582599	1583243	+	n	1582559	x	x	x	POTENTIAL	1	y	complex	0	x
851	CCNA_01476	CCNA_01477	1583425	1585601	+	y	1583402	x	x	x	POTENTIAL	1	n	simple	0	x
853	CCNA_01479	CCNA_01481	1586381	1590603	+	y	x	x	x	x	NO	0	y	complex	0	x
855	CCNA_01483	CCNA_01484	1590869	1591530	+	y	1590681	x	x	x	POTENTIAL	1	n	simple	0	x
857	CCNA_01487	CCNA_01487	1593897	1594643	+	n	1593851	x	x	x	TRUE	1	n	simple	0	x
858	CCNA_01488	CCNA_01488	1594813	1596615	+	n	1594724	x	x	x	TRUE	1	n	simple	0	x
859	CCNA_01489	CCNA_01489	1596728	1598278	+	n	1596698	x	x	x	POTENTIAL	1	n	simple	0	x
860	CCNA_01490	CCNA_01490	1598349	1599989	+	n	1598349	x	x	x	POTENTIAL	1	n	simple	0	x
863	CCNA_01496	CCNA_01497	1606088	1607955	+	y	1605959	x	x	x	TRUE	1	n	simple	0	x
864	CCNA_01498	CCNA_01500	1608057	1611922	+	y	x	x	x	x	NO	0	y	complex	0	x
866	CCNA_01502	CCNA_01502	1613345	1614289	+	n	1613317	x	x	x	POTENTIAL	1	n	simple	0	x
871	CCNA_01510	CCNA_01511	1620483	1621768	+	y	1620456	x	x	x	TRUE	1	n	simple	0	x
872	CCNA_01512	CCNA_01512	1621899	1622564	+	n	1621899	x	x	x	POTENTIAL	1	n	simple	0	x
873	CCNA_01513	CCNA_01515	1622843	1625594	+	y	x	x	x	x	NO	0	n	simple	0	x
875	CCNA_01519	CCNA_01520	1628290	1629508	+	y	1628247	x	x	x	TRUE	1	n	simple	0	x
879	CCNA_01525	CCNA_01526	1634266	1635013	+	y	1634129	1634209	x	x	TRUE	multiple	n	complex	0	x
880	CCNA_01527	CCNA_01527	1635261	1636082	+	n	1635202	x	x	x	TRUE	1	n	simple	0	x
881	CCNA_01528	CCNA_01528	1636359	1637180	+	n	1636299	x	x	x	TRUE	1	n	simple	0	x
882	CCNA_01529	CCNA_01529	1637293	1637661	+	n	x	x	x	x	NO	0	n	simple	0	x
883	CCNA_01530	CCNA_01531	1637841	1639297	+	y	1637774	x	x	x	POTENTIAL	1	n	simple	0	x
884	CCNA_01532	CCNA_01532	1639377	1642241	+	n	1639346	x	x	x	TRUE	1	y	complex	0	x
884.1	CCNA_01533	CCNA_01534	1642303	1643408	+	y	1642303	x	x	x	TRUE	1	y	complex	0	x
885	CCNA_01535	CCNA_01536	1643665	1645001	+	y	1643621	x	x	x	TRUE	1	y	complex	0	x
887	CCNA_01538	CCNA_01538	1646212	1648902	+	n	1646107	x	x	x	TRUE	1	n	simple	0	x
2404	CCNA_03952	CCNA_03952	1649019	1649504	+	n	x	x	x	x	NO	0	n	simple	0	x
890	CCNA_01541	CCNA_01541	1650282	1651178	+	n	1650166	1650174	x	x	TRUE	multiple	n	complex	0	x
893	CCNA_01545	CCNA_01545	1655039	1656220	+	n	1655020	x	x	x	POTENTIAL	1	n	simple	0	x
895	CCNA_01547	CCNA_01548	1659435	1662360	+	y	1659394	x	x	x	TRUE	1	n	simple	0	x
898	CCNA_01551	CCNA_01553	1665480	1669094	+	y	1665472	x	x	x	TRUE	1	n	simple	0	x
901	CCNA_01556	CCNA_01559	1672295	1676727	+	y	x	x	x	x	NO	0	y	complex	0	x
902	CCNA_01560	CCNA_01560	1676914	1679643	+	n	1676818	x	x	x	TRUE	1	n	simple	0	x
903	CCNA_01561	CCNA_01563	1679798	1681962	+	y	x	x	x	x	NO	0	y	complex	0	x
906	CCNA_01567	CCNA_01567	1683567	1684652	+	n	1683544	x	x	x	POTENTIAL	1	n	simple	0	x
907	CCNA_01568	CCNA_01568	1684807	1686171	+	n	1684733	x	x	x	TRUE	1	n	simple	0	x
908	CCNA_01569	CCNA_01569	1686283	1687005	+	n	x	x	x	x	NO	0	n	simple	0	x
909	CCNA_01570	CCNA_01570	1687082	1688644	+	n	x	x	x	x	NO	0	n	simple	0	x
911	CCNA_01574	CCNA_01574	1690173	1690907	+	n	1690130	x	x	x	TRUE	1	n	simple	0	x
914	CCNA_01578	CCNA_01578	1694679	1695041	+	n	1694668	x	x	x	TRUE	1	n	simple	0	x
915	CCNA_01579	CCNA_01579	1695303	1696811	+	n	1695260	x	x	x	TRUE	1	n	simple	0	x
916	CCNA_01580	CCNA_01580	1696883	1697533	+	n	1696858	x	x	x	TRUE	1	n	simple	0	x
917	CCNA_01581	CCNA_01581	1697642	1697974	+	n	1697598	1697609	x	x	TRUE	multiple	n	complex	0	x
918	CCNA_01582	CCNA_01582	1698089	1698451	+	n	x	x	x	x	NO	0	n	simple	0	x
2406	CCNA_03954	CCNA_03954	1699323	1699610	+	n	1699296	1699303	x	x	TRUE	multiple	n	complex	0	x
922	CCNA_01586	CCNA_01588	1704585	1708107	+	y	1704530	x	x	x	TRUE	1	n	simple	0	x
924	CCNA_01590	CCNA_01591	1709381	1712337	+	y	x	x	x	x	NO	0	n	simple	0	x
925	CCNA_01592	CCNA_01592	1712453	1712881	+	n	1712417	x	x	x	TRUE	1	n	simple	0	x
929	CCNA_01598	CCNA_01598	1719348	1720859	+	n	1719319	1719332	x	x	TRUE	multiple	n	complex	0	x
931	CCNA_01601	CCNA_01601	1722154	1722390	+	n	1722112	x	x	x	TRUE	1	n	simple	0	x
932	CCNA_01602	CCNA_01602	1722517	1723155	+	n	1722502	x	x	x	TRUE	1	n	simple	0	x
934	CCNA_01604	CCNA_01604	1724760	1725353	+	n	x	x	x	x	NO	0	n	simple	0	x
937	CCNA_01607	CCNA_01607	1726781	1727500	+	n	1726781	x	x	x	POTENTIAL	1	n	simple	0	x
939	CCNA_01609	CCNA_01609	1728187	1730142	+	n	1728155	x	x	x	POTENTIAL	1	n	simple	0	x
940	CCNA_03955	CCNA_01610	1730240	1731958	+	y	1730240	x	x	x	TRUE	1	n	simple	0	x
941	CCNA_01611	CCNA_01611	1732085	1732963	+	n	x	x	x	x	NO	0	n	simple	0	x
942	CCNA_01612	CCNA_01617	1733317	1739690	+	y	1733188	x	x	x	TRUE	1	y	complex	0	x
946	CCNA_01620	CCNA_01620	1741064	1741558	+	n	1740881	1740895	x	x	TRUE	multiple	n	complex	0	x
946.1	CCNA_01621	CCNA_01621	1741687	1742046	+	n	1741598	x	x	x	TRUE	1	n	simple	0	x
946.2	CCNA_01622	CCNA_01622	1742148	1744376	+	n	x	x	x	x	NO	0	n	simple	0	x
948	CCNA_01624	CCNA_01624	1745014	1745598	+	n	1745014	x	x	x	TRUE	1	n	simple	0	x
950	CCNA_01626	CCNA_01628	1747568	1749035	+	y	1747546	x	x	x	TRUE	1	n	simple	0	x
951	CCNA_01629	CCNA_01630	1749159	1750721	+	y	1749116	x	x	x	TRUE	1	n	simple	0	x
953	CCNA_01633	CCNA_01636	1751636	1755804	+	y	1751635	x	x	x	TRUE	1	y	complex	0	x
953.1	CCNA_01637	CCNA_01638	1755866	1759530	+	y	1755846	x	x	x	TRUE	1	n	simple	0	x
954	CCNA_01639	CCNA_01642	1759642	1763676	+	y	1759621	x	x	x	TRUE	1	y	complex	0	x
957	CCNA_01645	CCNA_01645	1765667	1766527	+	n	1765648	x	x	x	TRUE	1	n	simple	0	x
959	CCNA_01648	CCNA_01649	1768405	1770605	+	y	1768380	x	x	x	TRUE	1	n	simple	0	x
961	CCNA_01651	CCNA_01652	1771304	1774581	+	y	1771267	x	x	x	TRUE	1	y	complex	0	x
962	CCNA_01653	CCNA_01654	1774739	1776417	+	y	1774676	x	x	x	TRUE	1	n	simple	0	x
963	CCNA_01655	CCNA_01655	1776509	1776976	+	n	1776482	x	x	x	TRUE	1	n	simple	0	x
965	CCNA_01658	CCNA_01659	1778893	1781108	+	y	1778893	x	x	x	POTENTIAL	1	n	simple	0	x
969	CCNA_01663	CCNA_01667	1782651	1790440	+	y	x	x	x	x	NO	0	y	complex	0	x
970	CCNA_01668	CCNA_01670	1790704	1793469	+	y	1790421	1790610	x	x	TRUE	multiple	y	complex	0	x
971	CCNA_01671	CCNA_01671	1793574	1793930	+	n	1793494	x	x	x	TRUE	1	n	simple	0	x
973	CCNA_01675	CCNA_01676	1797735	1803712	+	y	1797708	x	x	x	TRUE	1	y	complex	0	x
974	CCNA_01677	CCNA_01681	1803814	1809357	+	y	1803684	1803719	1803797	x	TRUE	multiple	y	complex	0	x
976	CCNA_01683	CCNA_01683	1810291	1811511	+	n	1810266	x	x	x	POTENTIAL	1	n	simple	0	x
